,SiteEnergyUseWN(kBtu),TotalGHGEmissions,log-SiteEnergyUseWN(kBtu),log-TotalGHGEmissions
4015,735907.8125,17.29,13.50886149397548,2.906354462402774
4016,918950.6875,15.35,13.730988829226881,2.7942278973432626
4017,1777297.75,59.0,14.39060521343382,4.0943445622221
4018,697637.125,4.52,13.455455801746403,1.7083778602890038
4019,2053668.125,39.61,14.535138568373815,3.7040143416982065
4020,2292482.75,39.75,14.645146394756118,3.7074558396868715
4021,7760028.0,160.8,15.86449662926582,5.086361004624392
4022,531963.0,3.48,13.184331096861188,1.4996230464268938
4023,1839353.5,71.16,14.424925252817722,4.278885875754368
4024,2735258.5,17.83,14.821736870507303,2.935451342669061
4025,917668.5,5.93,13.729592582992733,1.9358598132018119
4026,2356765.5,15.7,14.67280111040075,2.8154087194227095
4027,1514105.25,9.99,14.230335888852682,2.39698576841553
4028,2033428.125,56.04,14.525234150021495,4.04375277610604
4029,983370.5,6.56,13.798742252453987,2.0228711901914416
4030,920430.625,6.42,13.732597996613897,2.004179057179289
4031,526752.8125,3.67,13.174488569419076,1.541159071680806
4032,858884.8125,5.62,13.663391261396908,1.890095369948917
4033,2183529.0,14.65,14.596453391222573,2.750470916986162
4034,2654316.0,18.5,14.791697929092788,2.970414465569701
4035,1609288.625,10.68,14.291303412883424,2.457877977400081
4036,2603010.0,61.21,14.772179409860973,4.130515758526928
4037,1251866.875,27.14,14.040147293923217,3.337192051686243
4038,1328072.5,38.87,14.099239953872504,3.6856241613932634
4039,2438706.5,60.12,14.706978743807074,4.112839144858265
4040,405050.4063,2.82,12.911769267169657,1.3402504226184837
4041,522105.3125,9.25,13.165626509921225,2.327277705584417
4042,1180859.625,16.5,13.981754073820673,2.8622008809294686
4043,866502.0,5.72,13.672220850336075,1.9050881545350582
4044,539303.6875,3.5,13.198035973110278,1.5040773967762742
4045,1404208.25,43.64,14.154984890924304,3.7986303180730556
4046,947450.8125,6.28,13.761531357125643,1.9851308622085946
4047,1130733.375,7.26,13.938377868982402,2.1114245875328868
4048,844200.375,5.41,13.646146341090166,1.8578592709325787
4049,961253.6875,38.38,13.77599467625304,3.6732580732109796
4050,1849331.25,12.89,14.430335185951895,2.6311691567662523
4051,583197.6875,3.73,13.276283209159649,1.5539252025038417
4052,1376059.25,30.99,14.134735082854041,3.4654233539614268
4053,1268771.125,8.44,14.053560160043832,2.244955980157409
4054,2592728.0,17.87,14.768221546910935,2.9375733593804587
4055,900194.0,6.08,13.710366685504281,1.9572739077056285
4056,771335.375,5.26,13.555879841447947,1.8341801851120072
4057,665344.8125,17.92,13.408062203272065,2.9402195636237325
4058,879347.8125,18.42,13.686936926734305,2.966303462863179
4059,1707776.25,45.58,14.35070322913492,3.841171264456195
4060,1096910.0,28.66,13.908008605610608,3.389799336709786
4061,533742.8125,3.72,13.187671250951922,1.551808799597464
4062,419978.6875,9.29,12.94796162599478,2.331172549845958
4063,870127.125,8.22,13.67639574990253,2.2213750375685026
4064,2654698.5,43.17,14.791842023578335,3.7880458256084353
4065,1033962.125,7.27,13.848909670938768,2.1126345090356
4066,2756929.5,41.96,14.829628481128164,3.7602694502006093
4067,1599591.25,64.35,14.285259310981823,4.179757440070231
4068,1519952.125,50.76,14.234190053531144,3.946617650192645
4069,1523036.0,20.3,14.236216925738471,3.0587070727153796
4070,2108861.75,14.7,14.5616593791071,2.7536607123542622
4071,1451149.5,9.76,14.187867248058945,2.3758355547336385
4072,2876132.0,18.91,14.87195724153824,2.991222118076105
4073,716940.625,5.0,13.482749700646684,1.791759469228055
4074,1089007.875,7.35,13.900778551560494,2.122261538862764
4075,1818106.125,75.64,14.413306476626037,4.339119133662605
4076,3256701.0,28.89,14.996225584831405,3.3975239762958465
4077,2613047.75,103.19,14.776028201045133,4.646216155424092
4078,979190.0,6.35,13.794481999521489,1.9947003132247452
4079,1085871.625,18.04,13.89789448438359,2.9465420293632194
4080,1682208.375,65.77,14.335618591554034,4.201253877869777
4081,1851120.75,69.88,14.431302364649156,4.2609883062968255
4082,1280845.875,26.52,14.063032038214805,3.314913013065143
4083,2061027.625,49.18,14.538715748665036,3.9156165409382764
4084,3034711.5,46.85,14.925627249817405,3.8680711178989635
4085,1278856.25,23.5,14.061477463698742,3.1986731175506815
4086,3123892.75,78.57,14.954590778479847,4.3766371373894435
4087,9134359.0,219.93,16.02755368513192,5.397845909262937
4088,729623.0,4.72,13.500284611938081,1.7439688053917064
4089,3370435.5,108.05,15.030552819163429,4.691806492647638
4090,908877.375,34.04,13.719966563327391,3.5564902660681907
4091,227074.2969,1.51,12.333036945867082,0.9202827531436925
4092,633770.5,4.33,13.359443758361397,1.673351238177753
4093,609896.0,7.24,13.321045369433296,2.1090003439213802
4094,3699164.75,75.12,15.123617879218628,4.332311042427949
4095,10133933.0,260.32,16.131400152267357,5.56574570997255
4096,2963244.0,18.9,14.901795509603785,2.990719731730447
4097,6024631.5,60.53,15.611367039630048,4.119524860752399
4098,1096163.75,7.22,13.907328054536343,2.1065702090680882
4099,2000013.25,13.16,14.508664863498836,2.6504210882655737
4100,6732712.5,158.63,15.722488815010607,5.072858637276387
4101,1686964.25,10.98,14.33844176262004,2.4832385926873033
4102,4031081.5,26.76,15.209545508275381,3.3235961356386037
4103,2340055.75,41.77,14.665685739176558,3.7558369222388173
4104,4947630.5,175.53,15.414419535185983,5.173490833601192
4105,3253334.25,124.4,14.995191258860336,4.83150862819882
4106,2567827.75,59.14,14.758571255431297,4.096675177560383
4107,1340563.125,39.05,14.10860107214214,3.6901286735143684
4108,1661746.625,11.18,14.32338039268662,2.4997952622817508
4109,2353435.75,77.75,14.67138726459498,4.366278277705742
4110,4167874.5,94.3,15.24291699152775,4.557029810660157
4111,161363.4063,1.12,11.991420479518519,0.7514160886839212
4112,3784060.5,94.69,15.146308461664539,4.561113799791172
4113,2332477.5,85.15,14.662441994083448,4.456089962973938
4114,3059642.5,77.56,14.933808963873556,4.36386266404621
4115,1453484.75,21.46,14.18947519501144,3.111735949310297
4116,3048425.5,34.75,14.930136113821211,3.5765502691400166
4117,808482.3125,9.11,13.602915317712078,2.3135250330323798
4118,917442.8125,5.94,13.729346617253613,1.937301774518713
4119,1597845.25,26.27,14.28416718666197,3.305787196857497
4120,501439.6875,12.17,13.125240609200226,2.5779415157551897
4121,903541.875,6.3,13.714078842232716,1.9878743481543455
4122,1067194.5,7.49,13.880544737492928,2.138889000323256
4123,3389213.25,106.35,15.03610866782965,4.67609452432479
4124,1196289.375,7.98,13.994735972485904,2.194999882314108
4125,320606.5938,2.15,12.677973205090426,1.1474024528375417
4126,660501.125,4.31,13.400755620198993,1.6695918352538475
4127,1273989.75,8.46,14.05766485449134,2.247072383063787
4128,1760895.125,47.98,14.381333399367199,3.891412051524022
4129,797546.125,11.94,13.589296202804428,2.5603232890727545
4130,3891769.25,110.42,15.174374689199263,4.71330684459267
4131,2315404.0,61.6,14.655095176205524,4.136765278106052
4132,4416909.5,30.79,15.300951027751685,3.459151774922711
4133,805732.1875,18.95,13.599507933806875,2.9932291433358724
4134,3766310.0,35.48,15.141606565777398,3.5967641652061304
4135,1761050.125,37.61,14.381421418857043,3.653511310276145
4136,4282176.5,61.18,15.269972199864878,4.130033404630607
4137,1835257.125,12.05,14.422695697152983,2.5687881337687024
4138,866241.875,11.44,13.671920604344198,2.5209170873110334
4139,1330840.875,14.17,14.10132228866688,2.719319793360441
4140,1524409.25,50.7,14.237118171916203,3.9454577815143836
4141,1710190.5,18.87,14.352115910512714,2.9892110565637253
4142,1119842.75,36.89,13.92869972461043,3.6346872250305093
4143,1421499.375,31.43,14.167223473878996,3.4790839203192268
4144,4591996.5,145.27,15.339825672556303,4.985454228898997
4145,590379.5,3.96,13.288522523267664,1.601405740736836
4146,722806.1875,15.26,13.490897781618672,2.7887081041196646
4147,1534285.0,59.05,14.243575684209402,4.095177548525992
4148,949308.5,6.01,13.76349015719367,1.9473377010464987
4149,597598.0,3.99,13.300675239439238,1.6074359097634274
4150,2270621.0,92.3,14.6355643607346,4.535820107853298
4151,592196.6875,4.02,13.291595789711238,1.6134299337036377
4152,1682454.875,11.73,14.335765114302733,2.543961412569315
4153,937950.625,9.65,13.751453654163786,2.365559892155434
4154,1471014.125,9.89,14.20146328165172,2.387844936944869
4155,877874.875,33.52,13.685260490185872,3.541538866215227
4156,851752.0,5.21,13.655051857677268,1.8261608959453874
4157,1217578.875,48.3,14.012375737536406,3.8979240810486444
4158,4060441.0,131.69,15.216802392647407,4.888015580548345
4159,770477.1875,16.16,13.554766623802324,2.8425810940598164
